train_number,run_date,station_code,sequence,scheduled_arrival,actual_arrival,scheduled_departure,actual_departure,distance_km
22436,2026-08-18,CNB,2,2026-08-18T10:08:00,2026-08-18T10:15:18,2026-08-18T10:10:00,2026-08-18T10:17:48,440.0
22436,2026-08-18,PRYJ,3,2026-08-18T12:08:00,2026-08-18T12:12:42,2026-08-18T12:10:00,2026-08-18T12:15:42,634.0
22436,2026-08-18,BSB,4,2026-08-18T14:00:00,2026-08-18T14:01:54,,,759.0
12952,2026-08-18,NDLS,1,,,2026-08-18T16:55:00,2026-08-18T17:05:00,0.0
12952,2026-08-18,KOTA,2,2026-08-18T21:30:00,2026-08-18T21:42:00,2026-08-18T21:40:00,2026-08-18T21:52:00,465.0
12952,2026-08-18,BRC,3,2026-08-19T03:40:00,2026-08-19T03:52:18,2026-08-19T03:50:00,2026-08-19T04:03:18,992.0
12952,2026-08-18,MMCT,4,2026-08-19T08:35:00,2026-08-19T08:46:30,,,1384.0
12302,2026-08-19,NDLS,1,,,2026-08-19T16:55:00,2026-08-19T16:57:00,0.0
12302,2026-08-19,CNB,2,2026-08-19T21:30:00,2026-08-19T21:34:48,2026-08-19T21:35:00,2026-08-19T21:40:18,440.0
12302,2026-08-19,PRYJ,3,2026-08-19T23:43:00,2026-08-19T23:43:54,2026-08-19T23:45:00,2026-08-19T23:47:54,634.0
12302,2026-08-19,DDU,4,2026-08-20T00:45:00,2026-08-20T00:48:24,2026-08-20T00:55:00,2026-08-20T00:58:54,787.0
12302,2026-08-19,GAYA,5,2026-08-20T03:10:00,2026-08-20T03:12:36,2026-08-20T03:13:00,2026-08-20T03:15:06,992.0
12302,2026-08-19,DHN,6,2026-08-20T05:55:00,2026-08-20T05:55:00,2026-08-20T06:00:00,2026-08-20T06:00:00,1193.0
12302,2026-08-19,ASN,7,2026-08-20T06:54:00,2026-08-20T06:54:00,2026-08-20T06:56:00,2026-08-20T06:57:00,1251.0
12302,2026-08-19,HWH,8,2026-08-20T09:55:00,2026-08-20T09:55:06,,,1450.0
22436,2026-08-19,NDLS,1,,,2026-08-19T06:00:00,2026-08-19T06:10:00,0.0
22436,2026-08-19,CNB,2,2026-08-19T10:08:00,2026-08-19T10:25:06,2026-08-19T10:10:00,2026-08-19T10:29:06,440.0
22436,2026-08-19,PRYJ,3,2026-08-19T12:08:00,2026-08-19T12:20:48,2026-08-19T12:10:00,2026-08-19T12:22:18,634.0
22436,2026-08-19,BSB,4,2026-08-19T14:00:00,2026-08-19T14:14:06,,,759.0
12952,2026-08-19,NDLS,1,,,2026-08-19T16:55:00,2026-08-19T16:55:00,0.0
12952,2026-08-19,KOTA,2,2026-08-19T21:30:00,2026-08-19T21:30:00,2026-08-19T21:40:00,2026-08-19T21:39:30,465.0
12952,2026-08-19,BRC,3,2026-08-20T03:40:00,2026-08-20T03:42:42,2026-08-20T03:50:00,2026-08-20T03:53:42,992.0
12952,2026-08-19,MMCT,4,2026-08-20T08:35:00,2026-08-20T08:41:18,,,1384.0
12302,2026-08-20,NDLS,1,,,2026-08-20T16:55:00,2026-08-20T16:57:00,0.0
12302,2026-08-20,CNB,2,2026-08-20T21:30:00,2026-08-20T21:40:06,2026-08-20T21:35:00,2026-08-20T21:45:36,440.0
12302,2026-08-20,PRYJ,3,2026-08-20T23:43:00,2026-08-20T23:52:00,2026-08-20T23:45:00,2026-08-20T23:56:00,634.0
12302,2026-08-20,DDU,4,2026-08-21T00:45:00,2026-08-21T00:58:42,2026-08-21T00:55:00,2026-08-21T01:08:12,787.0
12302,2026-08-20,GAYA,5,2026-08-21T03:10:00,2026-08-21T03:24:30,2026-08-21T03:13:00,2026-08-21T03:29:30,992.0
12302,2026-08-20,DHN,6,2026-08-21T05:55:00,2026-08-21T06:07:24,2026-08-21T06:00:00,2026-08-21T06:11:54,1193.0
12302,2026-08-20,ASN,7,2026-08-21T06:54:00,2026-08-21T07:06:00,2026-08-21T06:56:00,2026-08-21T07:10:00,1251.0
12302,2026-08-20,HWH,8,2026-08-21T09:55:00,2026-08-21T10:09:36,,,1450.0
22436,2026-08-20,NDLS,1,,,2026-08-20T06:00:00,2026-08-20T06:00:00,0.0
22436,2026-08-20,CNB,2,2026-08-20T10:08:00,2026-08-20T10:11:48,2026-08-20T10:10:00,2026-08-20T10:13:48,440.0
22436,2026-08-20,PRYJ,3,2026-08-20T12:08:00,2026-08-20T12:10:06,2026-08-20T12:10:00,2026-08-20T12:14:06,634.0
22436,2026-08-20,BSB,4,2026-08-20T14:00:00,2026-08-20T14:03:12,,,759.0
12952,2026-08-20,NDLS,1,,,2026-08-20T16:55:00,2026-08-20T17:00:00,0.0
12952,2026-08-20,KOTA,2,2026-08-20T21:30:00,2026-08-20T21:38:12,2026-08-20T21:40:00,2026-08-20T21:47:42,465.0
12952,2026-08-20,BRC,3,2026-08-21T03:40:00,2026-08-21T03:48:42,2026-08-21T03:50:00,2026-08-21T04:00:42,992.0
12952,2026-08-20,MMCT,4,2026-08-21T08:35:00,2026-08-21T08:47:06,,,1384.0
12302,2026-08-21,NDLS,1,,,2026-08-21T16:55:00,2026-08-21T17:00:00,0.0
12302,2026-08-21,CNB,2,2026-08-21T21:30:00,2026-08-21T21:43:00,2026-08-21T21:35:00,2026-08-21T21:50:00,440.0
12302,2026-08-21,PRYJ,3,2026-08-21T23:43:00,2026-08-21T23:54:18,2026-08-21T23:45:00,2026-08-21T23:55:48,634.0
12302,2026-08-21,DDU,4,2026-08-22T00:45:00,2026-08-22T01:02:48,2026-08-22T00:55:00,2026-08-22T01:14:48,787.0
12302,2026-08-21,GAYA,5,2026-08-22T03:10:00,2026-08-22T03:25:24,2026-08-22T03:13:00,2026-08-22T03:27:54,992.0
12302,2026-08-21,DHN,6,2026-08-22T05:55:00,2026-08-22T06:07:48,2026-08-22T06:00:00,2026-08-22T06:14:48,1193.0
12302,2026-08-21,ASN,7,2026-08-22T06:54:00,2026-08-22T07:05:42,2026-08-22T06:56:00,2026-08-22T07:09:42,1251.0
12302,2026-08-21,HWH,8,2026-08-22T09:55:00,2026-08-22T10:07:06,,,1450.0
22436,2026-08-21,NDLS,1,,,2026-08-21T06:00:00,2026-08-21T06:10:00,0.0
22436,2026-08-21,CNB,2,2026-08-21T10:08:00,2026-08-21T10:24:18,2026-08-21T10:10:00,2026-08-21T10:26:48,440.0
22436,2026-08-21,PRYJ,3,2026-08-21T12:08:00,2026-08-21T12:22:36,2026-08-21T12:10:00,2026-08-21T12:25:36,634.0
22436,2026-08-21,BSB,4,2026-08-21T14:00:00,2026-08-21T14:15:42,,,759.0
12952,2026-08-21,NDLS,1,,,2026-08-21T16:55:00,2026-08-21T16:57:00,0.0
12952,2026-08-21,KOTA,2,2026-08-21T21:30:00,2026-08-21T21:31:42,2026-08-21T21:40:00,2026-08-21T21:42:12,465.0
12952,2026-08-21,BRC,3,2026-08-22T03:40:00,2026-08-22T03:43:54,2026-08-22T03:50:00,2026-08-22T03:54:24,992.0
12952,2026-08-21,MMCT,4,2026-08-22T08:35:00,2026-08-22T08:39:42,,,1384.0
12302,2026-08-22,NDLS,1,,,2026-08-22T16:55:00,2026-08-22T16:55:00,0.0
12302,2026-08-22,CNB,2,2026-08-22T21:30:00,2026-08-22T21:38:36,2026-08-22T21:35:00,2026-08-22T21:45:36,440.0
12302,2026-08-22,PRYJ,3,2026-08-22T23:43:00,2026-08-22T23:49:00,2026-08-22T23:45:00,2026-08-22T23:51:00,634.0
12302,2026-08-22,DDU,4,2026-08-23T00:45:00,2026-08-23T00:57:54,2026-08-23T00:55:00,2026-08-23T01:08:24,787.0
12302,2026-08-22,GAYA,5,2026-08-23T03:10:00,2026-08-23T03:24:12,2026-08-23T03:13:00,2026-08-23T03:26:42,992.0
12302,2026-08-22,DHN,6,2026-08-23T05:55:00,2026-08-23T06:05:54,2026-08-23T06:00:00,2026-08-23T06:10:54,1193.0
12302,2026-08-22,ASN,7,2026-08-23T06:54:00,2026-08-23T07:05:36,2026-08-23T06:56:00,2026-08-23T07:09:36,1251.0
12302,2026-08-22,HWH,8,2026-08-23T09:55:00,2026-08-23T10:05:06,,,1450.0
22436,2026-08-22,NDLS,1,,,2026-08-22T06:00:00,2026-08-22T06:00:00,0.0
22436,2026-08-22,CNB,2,2026-08-22T10:08:00,2026-08-22T10:11:06,2026-08-22T10:10:00,2026-08-22T10:15:06,440.0
22436,2026-08-22,PRYJ,3,2026-08-22T12:08:00,2026-08-22T12:11:30,2026-08-22T12:10:00,2026-08-22T12:13:00,634.0
22436,2026-08-22,BSB,4,2026-08-22T14:00:00,2026-08-22T14:04:00,,,759.0
12952,2026-08-22,NDLS,1,,,2026-08-22T16:55:00,2026-08-22T16:55:00,0.0
12952,2026-08-22,KOTA,2,2026-08-22T21:30:00,2026-08-22T21:30:00,2026-08-22T21:40:00,2026-08-22T21:40:30,465.0
12952,2026-08-22,BRC,3,2026-08-23T03:40:00,2026-08-23T03:40:18,2026-08-23T03:50:00,2026-08-23T03:52:18,992.0
12952,2026-08-22,MMCT,4,2026-08-23T08:35:00,2026-08-23T08:37:30,,,1384.0
12302,2026-08-23,NDLS,1,,,2026-08-23T16:55:00,2026-08-23T17:00:00,0.0
12302,2026-08-23,CNB,2,2026-08-23T21:30:00,2026-08-23T21:42:36,2026-08-23T21:35:00,2026-08-23T21:47:06,440.0
12302,2026-08-23,PRYJ,3,2026-08-23T23:43:00,2026-08-23T23:50:18,2026-08-23T23:45:00,2026-08-23T23:51:48,634.0
12302,2026-08-23,DDU,4,2026-08-24T00:45:00,2026-08-24T00:59:18,2026-08-24T00:55:00,2026-08-24T01:08:48,787.0
12302,2026-08-23,GAYA,5,2026-08-24T03:10:00,2026-08-24T03:25:06,2026-08-24T03:13:00,2026-08-24T03:28:06,992.0
12302,2026-08-23,DHN,6,2026-08-24T05:55:00,2026-08-24T06:10:24,2026-08-24T06:00:00,2026-08-24T06:17:24,1193.0
12302,2026-08-23,ASN,7,2026-08-24T06:54:00,2026-08-24T07:08:54,2026-08-24T06:56:00,2026-08-24T07:11:24,1251.0
12302,2026-08-23,HWH,8,2026-08-24T09:55:00,2026-08-24T10:11:48,,,1450.0
22436,2026-08-23,NDLS,1,,,2026-08-23T06:00:00,2026-08-23T06:05:00,0.0
22436,2026-08-23,CNB,2,2026-08-23T10:08:00,2026-08-23T10:17:54,2026-08-23T10:10:00,2026-08-23T10:20:54,440.0
22436,2026-08-23,PRYJ,3,2026-08-23T12:08:00,2026-08-23T12:16:30,2026-08-23T12:10:00,2026-08-23T12:20:30,634.0
22436,2026-08-23,BSB,4,2026-08-23T14:00:00,2026-08-23T14:07:36,,,759.0
12952,2026-08-23,NDLS,1,,,2026-08-23T16:55:00,2026-08-23T16:55:00,0.0
12952,2026-08-23,KOTA,2,2026-08-23T21:30:00,2026-08-23T21:32:24,2026-08-23T21:40:00,2026-08-23T21:43:24,465.0
12952,2026-08-23,BRC,3,2026-08-24T03:40:00,2026-08-24T03:43:06,2026-08-24T03:50:00,2026-08-24T03:53:36,992.0
12952,2026-08-23,MMCT,4,2026-08-24T08:35:00,2026-08-24T08:37:00,,,1384.0
12302,2026-08-24,NDLS,1,,,2026-08-24T16:55:00,2026-08-24T16:55:00,0.0
12302,2026-08-24,CNB,2,2026-08-24T21:30:00,2026-08-24T21:30:00,2026-08-24T21:35:00,2026-08-24T21:35:30,440.0
12302,2026-08-24,PRYJ,3,2026-08-24T23:43:00,2026-08-24T23:43:00,2026-08-24T23:45:00,2026-08-24T23:45:30,634.0
12302,2026-08-24,DDU,4,2026-08-25T00:45:00,2026-08-25T00:45:30,2026-08-25T00:55:00,2026-08-25T00:56:00,787.0
12302,2026-08-24,GAYA,5,2026-08-25T03:10:00,2026-08-25T03:10:12,2026-08-25T03:13:00,2026-08-25T03:13:42,992.0
12302,2026-08-24,DHN,6,2026-08-25T05:55:00,2026-08-25T05:55:00,2026-08-25T06:00:00,2026-08-25T06:02:00,1193.0
12302,2026-08-24,ASN,7,2026-08-25T06:54:00,2026-08-25T06:54:00,2026-08-25T06:56:00,2026-08-25T06:56:30,1251.0
12302,2026-08-24,HWH,8,2026-08-25T09:55:00,2026-08-25T09:55:00,,,1450.0
22436,2026-08-24,NDLS,1,,,2026-08-24T06:00:00,2026-08-24T06:10:00,0.0
22436,2026-08-24,CNB,2,2026-08-24T10:08:00,2026-08-24T10:22:18,2026-08-24T10:10:00,2026-08-24T10:25:18,440.0
22436,2026-08-24,PRYJ,3,2026-08-24T12:08:00,2026-08-24T12:19:36,2026-08-24T12:10:00,2026-08-24T12:21:36,634.0
22436,2026-08-24,BSB,4,2026-08-24T14:00:00,2026-08-24T14:09:06,,,759.0
12952,2026-08-24,NDLS,1,,,2026-08-24T16:55:00,2026-08-24T17:00:00,0.0
12952,2026-08-24,KOTA,2,2026-08-24T21:30:00,2026-08-24T21:33:54,2026-08-24T21:40:00,2026-08-24T21:44:24,465.0
12952,2026-08-24,BRC,3,2026-08-25T03:40:00,2026-08-25T03:46:24,2026-08-25T03:50:00,2026-08-25T03:56:54,992.0
12952,2026-08-24,MMCT,4,2026-08-25T08:35:00,2026-08-25T08:43:00,,,1384.0
12302,2026-08-25,NDLS,1,,,2026-08-25T16:55:00,2026-08-25T16:57:00,0.0
12302,2026-08-25,CNB,2,2026-08-25T21:30:00,2026-08-25T21:37:48,2026-08-25T21:35:00,2026-08-25T21:42:18,440.0
12302,2026-08-25,PRYJ,3,2026-08-25T23:43:00,2026-08-25T23:46:00,2026-08-25T23:45:00,2026-08-25T23:48:00,634.0
12302,2026-08-25,DDU,4,2026-08-26T00:45:00,2026-08-26T00:50:12,2026-08-26T00:55:00,2026-08-26T01:01:12,787.0
12302,2026-08-25,GAYA,5,2026-08-26T03:10:00,2026-08-26T03:17:00,2026-08-26T03:13:00,2026-08-26T03:20:00,992.0
12302,2026-08-25,DHN,6,2026-08-26T05:55:00,2026-08-26T05:58:36,2026-08-26T06:00:00,2026-08-26T06:05:36,1193.0
12302,2026-08-25,ASN,7,2026-08-26T06:54:00,2026-08-26T06:56:06,2026-08-26T06:56:00,2026-08-26T07:00:06,1251.0
12302,2026-08-25,HWH,8,2026-08-26T09:55:00,2026-08-26T10:00:36,,,1450.0
22436,2026-08-25,NDLS,1,,,2026-08-25T06:00:00,2026-08-25T06:00:00,0.0
22436,2026-08-25,CNB,2,2026-08-25T10:08:00,2026-08-25T10:16:42,2026-08-25T10:10:00,2026-08-25T10:19:12,440.0
22436,2026-08-25,PRYJ,3,2026-08-25T12:08:00,2026-08-25T12:14:42,2026-08-25T12:10:00,2026-08-25T12:17:42,634.0
22436,2026-08-25,BSB,4,2026-08-25T14:00:00,2026-08-25T14:03:18,,,759.0
12952,2026-08-25,NDLS,1,,,2026-08-25T16:55:00,2026-08-25T17:05:00,0.0
12952,2026-08-25,KOTA,2,2026-08-25T21:30:00,2026-08-25T21:37:48,2026-08-25T21:40:00,2026-08-25T21:47:18,465.0
12952,2026-08-25,BRC,3,2026-08-26T03:40:00,2026-08-26T03:48:54,2026-08-26T03:50:00,2026-08-26T03:59:54,992.0
12952,2026-08-25,MMCT,4,2026-08-26T08:35:00,2026-08-26T08:43:54,,,1384.0
12302,2026-08-26,NDLS,1,,,2026-08-26T16:55:00,2026-08-26T16:57:00,0.0
12302,2026-08-26,CNB,2,2026-08-26T21:30:00,2026-08-26T21:38:00,2026-08-26T21:35:00,2026-08-26T21:43:30,440.0
12302,2026-08-26,PRYJ,3,2026-08-26T23:43:00,2026-08-26T23:49:30,2026-08-26T23:45:00,2026-08-26T23:53:30,634.0
12302,2026-08-26,DDU,4,2026-08-27T00:45:00,2026-08-27T00:51:36,2026-08-27T00:55:00,2026-08-27T01:02:36,787.0
12302,2026-08-26,GAYA,5,2026-08-27T03:10:00,2026-08-27T03:20:00,2026-08-27T03:13:00,2026-08-27T03:23:30,992.0
12302,2026-08-26,DHN,6,2026-08-27T05:55:00,2026-08-27T06:04:12,2026-08-27T06:00:00,2026-08-27T06:11:12,1193.0
12302,2026-08-26,ASN,7,2026-08-27T06:54:00,2026-08-27T07:02:36,2026-08-27T06:56:00,2026-08-27T07:05:36,1251.0
12302,2026-08-26,HWH,8,2026-08-27T09:55:00,2026-08-27T10:06:42,,,1450.0
22436,2026-08-26,NDLS,1,,,2026-08-26T06:00:00,2026-08-26T06:10:00,0.0
22436,2026-08-26,CNB,2,2026-08-26T10:08:00,2026-08-26T10:18:36,2026-08-26T10:10:00,2026-08-26T10:21:06,440.0
22436,2026-08-26,PRYJ,3,2026-08-26T12:08:00,2026-08-26T12:16:18,2026-08-26T12:10:00,2026-08-26T12:18:18,634.0
22436,2026-08-26,BSB,4,2026-08-26T14:00:00,2026-08-26T14:08:54,,,759.0
12952,2026-08-26,NDLS,1,,,2026-08-26T16:55:00,2026-08-26T16:55:00,0.0
12952,2026-08-26,KOTA,2,2026-08-26T21:30:00,2026-08-26T21:32:00,2026-08-26T21:40:00,2026-08-26T21:44:00,465.0
12952,2026-08-26,BRC,3,2026-08-27T03:40:00,2026-08-27T03:42:18,2026-08-27T03:50:00,2026-08-27T03:53:18,992.0
12952,2026-08-26,MMCT,4,2026-08-27T08:35:00,2026-08-27T08:37:54,,,1384.0
12302,2026-08-27,NDLS,1,,,2026-08-27T16:55:00,2026-08-27T17:00:00,0.0
12302,2026-08-27,CNB,2,2026-08-27T21:30:00,2026-08-27T21:37:36,2026-08-27T21:35:00,2026-08-27T21:44:36,440.0
12302,2026-08-27,PRYJ,3,2026-08-27T23:43:00,2026-08-27T23:51:36,2026-08-27T23:45:00,2026-08-27T23:53:06,634.0
12302,2026-08-27,DDU,4,2026-08-28T00:45:00,2026-08-28T00:54:30,2026-08-28T00:55:00,2026-08-28T01:04:00,787.0
12302,2026-08-27,GAYA,5,2026-08-28T03:10:00,2026-08-28T03:19:42,2026-08-28T03:13:00,2026-08-28T03:23:42,992.0
12302,2026-08-27,DHN,6,2026-08-28T05:55:00,2026-08-28T06:01:54,2026-08-28T06:00:00,2026-08-28T06:07:54,1193.0
12302,2026-08-27,ASN,7,2026-08-28T06:54:00,2026-08-28T07:01:12,2026-08-28T06:56:00,2026-08-28T07:04:12,1251.0
12302,2026-08-27,HWH,8,2026-08-28T09:55:00,2026-08-28T10:02:54,,,1450.0
22436,2026-08-27,NDLS,1,,,2026-08-27T06:00:00,2026-08-27T06:00:00,0.0
22436,2026-08-27,CNB,2,2026-08-27T10:08:00,2026-08-27T10:16:48,2026-08-27T10:10:00,2026-08-27T10:19:18,440.0
22436,2026-08-27,PRYJ,3,2026-08-27T12:08:00,2026-08-27T12:16:24,2026-08-27T12:10:00,2026-08-27T12:19:24,634.0
22436,2026-08-27,BSB,4,2026-08-27T14:00:00,2026-08-27T14:11:12,,,759.0
12952,2026-08-27,NDLS,1,,,2026-08-27T16:55:00,2026-08-27T17:05:00,0.0
12952,2026-08-27,KOTA,2,2026-08-27T21:30:00,2026-08-27T21:40:24,2026-08-27T21:40:00,2026-08-27T21:50:54,465.0
12952,2026-08-27,BRC,3,2026-08-28T03:40:00,2026-08-28T03:51:30,2026-08-28T03:50:00,2026-08-28T04:02:30,992.0
12952,2026-08-27,MMCT,4,2026-08-28T08:35:00,2026-08-28T08:47:12,,,1384.0
12302,2026-08-28,NDLS,1,,,2026-08-28T16:55:00,2026-08-28T17:05:00,0.0
12302,2026-08-28,CNB,2,2026-08-28T21:30:00,2026-08-28T21:45:54,2026-08-28T21:35:00,2026-08-28T21:51:54,440.0
12302,2026-08-28,PRYJ,3,2026-08-28T23:43:00,2026-08-28T23:58:00,2026-08-28T23:45:00,2026-08-29T00:01:00,634.0
12302,2026-08-28,DDU,4,2026-08-29T00:45:00,2026-08-29T01:04:18,2026-08-29T00:55:00,2026-08-29T01:14:48,787.0
12302,2026-08-28,GAYA,5,2026-08-29T03:10:00,2026-08-29T03:28:12,2026-08-29T03:13:00,2026-08-29T03:31:12,992.0
12302,2026-08-28,DHN,6,2026-08-29T05:55:00,2026-08-29T06:09:06,2026-08-29T06:00:00,2026-08-29T06:14:06,1193.0
12302,2026-08-28,ASN,7,2026-08-29T06:54:00,2026-08-29T07:04:36,2026-08-29T06:56:00,2026-08-29T07:08:36,1251.0
12302,2026-08-28,HWH,8,2026-08-29T09:55:00,2026-08-29T10:05:24,,,1450.0
22436,2026-08-28,NDLS,1,,,2026-08-28T06:00:00,2026-08-28T06:00:00,0.0
22436,2026-08-28,CNB,2,2026-08-28T10:08:00,2026-08-28T10:11:54,2026-08-28T10:10:00,2026-08-28T10:13:54,440.0
22436,2026-08-28,PRYJ,3,2026-08-28T12:08:00,2026-08-28T12:14:24,2026-08-28T12:10:00,2026-08-28T12:16:24,634.0
22436,2026-08-28,BSB,4,2026-08-28T14:00:00,2026-08-28T14:06:24,,,759.0
12952,2026-08-28,NDLS,1,,,2026-08-28T16:55:00,2026-08-28T16:55:00,0.0
12952,2026-08-28,KOTA,2,2026-08-28T21:30:00,2026-08-28T21:30:48,2026-08-28T21:40:00,2026-08-28T21:40:18,465.0
12952,2026-08-28,BRC,3,2026-08-29T03:40:00,2026-08-29T03:41:54,2026-08-29T03:50:00,2026-08-29T03:52:24,992.0
12952,2026-08-28,MMCT,4,2026-08-29T08:35:00,2026-08-29T08:37:12,,,1384.0
12302,2026-08-29,NDLS,1,,,2026-08-29T16:55:00,2026-08-29T17:05:00,0.0
12302,2026-08-29,CNB,2,2026-08-29T21:30:00,2026-08-29T21:39:48,2026-08-29T21:35:00,2026-08-29T21:45:18,440.0
12302,2026-08-29,PRYJ,3,2026-08-29T23:43:00,2026-08-29T23:49:06,2026-08-29T23:45:00,2026-08-29T23:50:36,634.0
12302,2026-08-29,DDU,4,2026-08-30T00:45:00,2026-08-30T00:50:18,2026-08-30T00:55:00,2026-08-30T01:01:18,787.0
12302,2026-08-29,GAYA,5,2026-08-30T03:10:00,2026-08-30T03:18:06,2026-08-30T03:13:00,2026-08-30T03:20:36,992.0
12302,2026-08-29,DHN,6,2026-08-30T05:55:00,2026-08-30T06:03:18,2026-08-30T06:00:00,2026-08-30T06:07:48,1193.0
12302,2026-08-29,ASN,7,2026-08-30T06:54:00,2026-08-30T07:00:42,2026-08-30T06:56:00,2026-08-30T07:02:42,1251.0
12302,2026-08-29,HWH,8,2026-08-30T09:55:00,2026-08-30T10:00:18,,,1450.0
22436,2026-08-29,NDLS,1,,,2026-08-29T06:00:00,2026-08-29T06:00:00,0.0
22436,2026-08-29,CNB,2,2026-08-29T10:08:00,2026-08-29T10:08:54,2026-08-29T10:10:00,2026-08-29T10:10:54,440.0
22436,2026-08-29,PRYJ,3,2026-08-29T12:08:00,2026-08-29T12:08:06,2026-08-29T12:10:00,2026-08-29T12:10:06,634.0
22436,2026-08-29,BSB,4,2026-08-29T14:00:00,2026-08-29T14:01:18,,,759.0
12952,2026-08-29,NDLS,1,,,2026-08-29T16:55:00,2026-08-29T16:55:00,0.0
12952,2026-08-29,KOTA,2,2026-08-29T21:30:00,2026-08-29T21:30:00,2026-08-29T21:40:00,2026-08-29T21:41:00,465.0
12952,2026-08-29,BRC,3,2026-08-30T03:40:00,2026-08-30T03:41:06,2026-08-30T03:50:00,2026-08-30T03:51:06,992.0
12952,2026-08-29,MMCT,4,2026-08-30T08:35:00,2026-08-30T08:36:54,,,1384.0
12302,2026-08-30,NDLS,1,,,2026-08-30T16:55:00,2026-08-30T16:55:00,0.0
12302,2026-08-30,CNB,2,2026-08-30T21:30:00,2026-08-30T21:38:42,2026-08-30T21:35:00,2026-08-30T21:44:42,440.0
12302,2026-08-30,PRYJ,3,2026-08-30T23:43:00,2026-08-30T23:50:48,2026-08-30T23:45:00,2026-08-30T23:53:18,634.0
12302,2026-08-30,DDU,4,2026-08-31T00:45:00,2026-08-31T00:52:42,2026-08-31T00:55:00,2026-08-31T01:04:42,787.0
12302,2026-08-30,GAYA,5,2026-08-31T03:10:00,2026-08-31T03:19:00,2026-08-31T03:13:00,2026-08-31T03:22:30,992.0
12302,2026-08-30,DHN,6,2026-08-31T05:55:00,2026-08-31T06:03:30,2026-08-31T06:00:00,2026-08-31T06:09:30,1193.0
12302,2026-08-30,ASN,7,2026-08-31T06:54:00,2026-08-31T07:01:18,2026-08-31T06:56:00,2026-08-31T07:03:48,1251.0
12302,2026-08-30,HWH,8,2026-08-31T09:55:00,2026-08-31T10:02:18,,,1450.0
22436,2026-08-30,NDLS,1,,,2026-08-30T06:00:00,2026-08-30T06:10:00,0.0
22436,2026-08-30,CNB,2,2026-08-30T10:08:00,2026-08-30T10:24:48,2026-08-30T10:10:00,2026-08-30T10:28:48,440.0
22436,2026-08-30,PRYJ,3,2026-08-30T12:08:00,2026-08-30T12:22:18,2026-08-30T12:10:00,2026-08-30T12:25:18,634.0
22436,2026-08-30,BSB,4,2026-08-30T14:00:00,2026-08-30T14:13:42,,,759.0
12952,2026-08-30,NDLS,1,,,2026-08-30T16:55:00,2026-08-30T17:05:00,0.0
12952,2026-08-30,KOTA,2,2026-08-30T21:30:00,2026-08-30T21:37:06,2026-08-30T21:40:00,2026-08-30T21:49:06,465.0
12952,2026-08-30,BRC,3,2026-08-31T03:40:00,2026-08-31T03:48:00,2026-08-31T03:50:00,2026-08-31T04:00:00,992.0
12952,2026-08-30,MMCT,4,2026-08-31T08:35:00,2026-08-31T08:43:42,,,1384.0
12302,2026-08-31,NDLS,1,,,2026-08-31T16:55:00,2026-08-31T17:05:00,0.0
12302,2026-08-31,CNB,2,2026-08-31T21:30:00,2026-08-31T21:46:06,2026-08-31T21:35:00,2026-08-31T21:50:36,440.0
12302,2026-08-31,PRYJ,3,2026-08-31T23:43:00,2026-08-31T23:57:54,2026-08-31T23:45:00,2026-08-31T23:59:24,634.0
12302,2026-08-31,DDU,4,2026-09-01T00:45:00,2026-09-01T01:15:06,2026-09-01T00:55:00,2026-09-01T01:26:06,787.0
12302,2026-08-31,GAYA,5,2026-09-01T03:10:00,2026-09-01T03:38:48,2026-09-01T03:13:00,2026-09-01T03:41:18,992.0
12302,2026-08-31,DHN,6,2026-09-01T05:55:00,2026-09-01T06:25:36,2026-09-01T06:00:00,2026-09-01T06:32:36,1193.0
12302,2026-08-31,ASN,7,2026-09-01T06:54:00,2026-09-01T07:23:54,2026-09-01T06:56:00,2026-09-01T07:25:24,1251.0
12302,2026-08-31,HWH,8,2026-09-01T09:55:00,2026-09-01T10:23:30,,,1450.0
22436,2026-08-31,NDLS,1,,,2026-08-31T06:00:00,2026-08-31T06:10:00,0.0
22436,2026-08-31,CNB,2,2026-08-31T10:08:00,2026-08-31T10:16:36,2026-08-31T10:10:00,2026-08-31T10:20:36,440.0
22436,2026-08-31,PRYJ,3,2026-08-31T12:08:00,2026-08-31T12:17:18,2026-08-31T12:10:00,2026-08-31T12:21:18,634.0
22436,2026-08-31,BSB,4,2026-08-31T14:00:00,2026-08-31T14:09:24,,,759.0
12952,2026-08-31,NDLS,1,,,2026-08-31T16:55:00,2026-08-31T16:57:00,0.0
12952,2026-08-31,KOTA,2,2026-08-31T21:30:00,2026-08-31T21:33:18,2026-08-31T21:40:00,2026-08-31T21:45:18,465.0
12952,2026-08-31,BRC,3,2026-09-01T03:40:00,2026-09-01T03:42:48,2026-09-01T03:50:00,2026-09-01T03:53:48,992.0
12952,2026-08-31,MMCT,4,2026-09-01T08:35:00,2026-09-01T08:37:30,,,1384.0
12302,2026-09-01,NDLS,1,,,2026-09-01T16:55:00,2026-09-01T16:55:00,0.0
12302,2026-09-01,CNB,2,2026-09-01T21:30:00,2026-09-01T21:31:24,2026-09-01T21:35:00,2026-09-01T21:36:24,440.0
12302,2026-09-01,PRYJ,3,2026-09-01T23:43:00,2026-09-01T23:43:00,2026-09-01T23:45:00,2026-09-01T23:47:00,634.0
